El municipio en cifras
Parados registrados
Año;Periodos;Ciudad Lineal;
2012;Diciembre;15783;
2013;Enero;16258;
2013;Febrero;16554;
2013;Marzo;16626;
2013;Abril;16520;
2013;Mayo;16221;
2013;Junio;15891;
2013;Julio;15943;
2013;Agosto;15911;
2013;Septiembre;16021;
2013;Octubre;16244;
2013;Noviembre;16177;
2013;Diciembre;15732;
2014;Enero;15885;
2014;Febrero;16063;
2014;Marzo;16113;
2014;Abril;15772;
2014;Mayo;15308;
2014;Junio;14974;
2014;Julio;15247;
2014;Agosto;15384;
2014;Septiembre;15311;
2014;Octubre;15426;
2014;Noviembre;15228;
2014;Diciembre;14759;
2015;Enero;15070;
2015;Febrero;15286;
2015;Marzo;15180;
2015;Abril;14842;
2015;Mayo;14318;
2015;Junio;13950;
2015;Julio;13910;
2015;Agosto;13948;
2015;Septiembre;13901;
2015;Octubre;14068;
2015;Noviembre;13841;
2015;Diciembre;13596;
2016;Enero;13797;
2016;Febrero;13876;
2016;Marzo;13771;
2016;Abril;13542;
2016;Mayo;13195;
2016;Junio;12867;
2016;Julio;12698;
2016;Agosto;12827;
2016;Septiembre;12707;
2016;Octubre;12715;
2016;Noviembre;12511;
2016;Diciembre;12203;
2017;Enero;12451;
2017;Febrero;12572;
2017;Marzo;12473;
2017;Abril;12083;
2017;Mayo;11653;
2017;Junio;11408;
2017;Julio;11404;
2017;Agosto;11535;
2017;Septiembre;11525;
2017;Octubre;11656;
2017;Noviembre;11376;
2017;Diciembre;11154;
2018;Enero;11557;
2018;Febrero;11573;
2018;Marzo;11419;
2018;Abril;11122;
2018;Mayo;10671;
2018;Junio;10430;
2018;Julio;10416;
2018;Agosto;10530;
2018;Septiembre;10493;
2018;Octubre;10443;
2018;Noviembre;10236;
2018;Diciembre;10024;
2019;Enero;10447;
2019;Febrero;10618;
2019;Marzo;10530;
2019;Abril;10248;
2019;Mayo;10021;
2019;Junio;9868;
2019;Julio;10190;
2019;Agosto;10321;
2019;Septiembre;10226;
2019;Octubre;10368;
2019;Noviembre;10257;
2019;Diciembre;10173;
2020;Enero;10512;
2020;Febrero;10467;
2020;Marzo;10725;
2020;Abril;12172;
2020;Mayo;12802;
2020;Junio;12752;
2020;Julio;13048;
2020;Agosto;13266;
2020;Septiembre;13040;
2020;Octubre;13129;
2020;Noviembre;13167;
2020;Diciembre;13264;
2021;Enero;13602;
2021;Febrero;13807;
2021;Marzo;13626;
2021;Abril;13461;
2021;Mayo;13133;
2021;Junio;12699;
2021;Julio;12515;
2021;Agosto;12507;
2021;Septiembre;12242;
2021;Octubre;11946;
2021;Noviembre;11583;
2021;Diciembre;10771;
2022;Enero;10496;
2022;Febrero;9969;
2022;Marzo;9871;
2022;Abril;9541;
2022;Mayo;9111;
2022;Junio;8971;
2022;Julio;8930;
2022;Agosto;8930;
2022;Septiembre;9109;
2022;Octubre;9127;
2022;Noviembre;9047;
2022;Diciembre;8848;
2023;Enero;9132;
2023;Febrero;9277;
2023;Marzo;9282;
2023;Abril;9152;
2023;Mayo;8965;
2023;Junio;8912;
2023;Julio;8861;
2023;Agosto;8905;
2023;Septiembre;8961;
2023;Octubre;9020;
2023;Noviembre;8937;
2023;Diciembre;8810;
2024;Enero;9109;
2024;Febrero;9148;
2024;Marzo;9210;
2024;Abril;8992;
2024;Mayo;8905;
2024;Junio;8725;
2024;Julio;8736;
2024;Agosto;8753;
2024;Septiembre;8833;
2024;Octubre;8807;
2024;Noviembre;9358;
2024;Diciembre;8724;
2025;Enero;8933;
2025;Febrero;9067;
2025;Marzo;8889;
2025;Abril;8855;
2025;Mayo;8673;
2025;Junio;8510;
2025;Julio;8523;
2025;Agosto;8638;
2025;Septiembre;8543;
2025;Octubre;8602;
2025;Noviembre;8580;
2025;Diciembre;8478;
2026;Enero;8671;
2026;Febrero;8797;
