El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;Ciudad Lineal;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;41,57;71;
2011;Anual;48,92;69,87;
2012;Anual;49,35;70,49;
2013;Anual;49,73;73;
2014;Anual;49,91;73,66;
2015;Anual;59,68;76,17;
2016;Anual;60,93;79,58;
2017;Anual;65,07;81,08;
2018;Anual;67,67;83,22;
2019;Anual;68,95;85,23;
2020;Anual;72,21;85,5;
2021;Anual;69,3;83,51;
2022;Anual;72,16;88,8;
2023;Anual;73,52;91,68;
