El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Hortaleza;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;2.279;4.450;6.729;42.053;92.109;134.162
2; 80 - 84;2.810;3.802;6.612;42.412;68.809;111.221
3; 75 - 79;3.226;4.873;8.099;53.602;80.108;133.710
4; 70 - 74;3.379;4.681;8.060;60.418;83.243;143.661
5; 65 - 69;4.626;5.417;10.043;80.493;102.569;183.062
6; 60 - 64;6.055;6.892;12.947;102.853;122.998;225.851
7; 55 - 59;6.665;7.458;14.123;116.074;132.847;248.921
8; 50 - 54;8.074;8.888;16.962;126.476;138.636;265.112
9; 45 - 49;8.647;9.396;18.043;130.316;139.236;269.552
10; 40 - 44;7.763;8.259;16.022;122.467;127.825;250.292
11; 35 - 39;6.596;7.248;13.844;122.464;125.667;248.131
12; 30 - 34;6.010;6.341;12.351;133.726;137.801;271.527
13; 25 - 29;5.414;5.498;10.912;124.072;132.589;256.661
14; 20 - 24;5.525;5.334;10.859;100.514;102.254;202.768
15; 15 - 19;6.014;5.591;11.605;84.747;81.427;166.174
16; 10 - 14;6.243;5.873;12.116;77.909;75.033;152.942
17; 5 - 9;5.667;5.429;11.096;71.169;68.166;139.335
18; 0 - 4;4.682;4.436;9.118;63.996;60.839;124.835
