El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Hortaleza;Madrid;
2005;Anual;15,28;13,59;
2006;Anual;15,5;13,6;
2007;Anual;15,89;13,72;
2008;Anual;16,28;13,87;
2009;Anual;16,48;14,05;
2010;Anual;16,7;14,19;
2011;Anual;17,04;14,29;
2012;Anual;17,18;14,4;
2013;Anual;17,36;14,46;
2014;Anual;17,39;14,48;
2015;Anual;17,51;14,5;
2016;Anual;17,59;14,51;
2017;Anual;17,6;14,49;
2018;Anual;17,71;14,37;
2019;Anual;17,78;14,22;
2020;Anual;17,66;13,98;
2021;Anual;17,58;13,76;
2022;Anual;17,49;13,55;
2023;Anual;17,3;13,29;
2024;Anual;17,01;13,03;
2025;Anual;16,61;12,74;
