El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Hortaleza;Madrid;
2005;Anual;69,7;67,8;
2006;Anual;69,3;67,7;
2007;Anual;68,8;67,5;
2008;Anual;68,4;67,5;
2009;Anual;67,9;67,4;
2010;Anual;67,2;67;
2011;Anual;66,4;66,7;
2012;Anual;65,7;66,2;
2013;Anual;65;65,9;
2014;Anual;64,3;65,3;
2015;Anual;63,9;65;
2016;Anual;63,8;65;
2017;Anual;63,7;65,1;
2018;Anual;63,6;65,2;
2019;Anual;63,61;65,53;
2020;Anual;63,82;65,96;
2021;Anual;63,86;66,21;
2022;Anual;63,8;66,17;
2023;Anual;63,97;66,51;
2024;Anual;64,28;67,01;
2025;Anual;64,52;67,25;
