El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Hortaleza;Madrid;
2005;Anual;15;18,62;
2006;Anual;15,22;18,74;
2007;Anual;15,32;18,76;
2008;Anual;15,35;18,58;
2009;Anual;15,63;18,58;
2010;Anual;16,07;18,77;
2011;Anual;16,55;19,04;
2012;Anual;17,07;19,36;
2013;Anual;17,66;19,67;
2014;Anual;18,27;20,18;
2015;Anual;18,56;20,49;
2016;Anual;18,59;20,46;
2017;Anual;18,7;20,46;
2018;Anual;18,71;20,39;
2019;Anual;18,61;20,26;
2020;Anual;18,52;20,06;
2021;Anual;18,57;20,03;
2022;Anual;18,71;20,28;
2023;Anual;18,73;20,2;
2024;Anual;18,71;19,97;
2025;Anual;18,87;20,01;
