El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Hortaleza;Madrid;
2005;Anual;21,75;26,61;
2006;Anual;22,07;27,11;
2007;Anual;22,69;28,12;
2008;Anual;23,25;28,96;
2009;Anual;24;29,9;
2010;Anual;24,72;30,78;
2011;Anual;25,72;31,72;
2012;Anual;26,46;32,61;
2013;Anual;27,43;33,51;
2014;Anual;27,97;34,33;
2015;Anual;28,61;35,02;
2016;Anual;29,43;35,49;
2017;Anual;30,26;36,1;
2018;Anual;30,65;36,19;
2019;Anual;30,9;36;
2020;Anual;30,5;35,2;
2021;Anual;31,1;35,4;
2022;Anual;31,5;35;
2023;Anual;31,86;34,59;
2024;Anual;33;34,7;
2025;Anual;33,75;34,76;
