El municipio en cifras
Índice de feminidad
Año;Periodos;Hortaleza;Madrid;
2005;Anual;108,5;112,8;
2006;Anual;108,9;112,5;
2007;Anual;109,2;112,6;
2008;Anual;109,5;112,4;
2009;Anual;109,5;112,3;
2010;Anual;110;112,7;
2011;Anual;110,3;113,3;
2012;Anual;110,9;114;
2013;Anual;111,1;114,5;
2014;Anual;110,8;114,8;
2015;Anual;110,7;115;
2016;Anual;110,6;114,9;
2017;Anual;110,5;114,8;
2018;Anual;110,6;114,7;
2019;Anual;110,8;114,7;
2020;Anual;110,9;114,5;
2021;Anual;111;114,4;
2022;Anual;110,8;114,1;
2023;Anual;110,8;114,1;
2024;Anual;110,6;113,5;
2025;Anual;110,2;113,1;
