El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;Hortaleza;Madrid;
2005;Anual;11,7;16,3;
2006;Anual;13;17,9;
2007;Anual;13,8;18,4;
2008;Anual;15,1;19,8;
2009;Anual;16,1;20,8;
2010;Anual;16,5;21,1;
2011;Anual;16,5;21,1;
2012;Anual;15,7;20,4;
2013;Anual;15,3;20,2;
2014;Anual;14,8;19,5;
2015;Anual;14,4;19,3;
2016;Anual;14,7;19,7;
2017;Anual;15;20,1;
2018;Anual;15,55;21,03;
2019;Anual;16,47;22,16;
2020;Anual;17,49;23,61;
2021;Anual;17,9;24,32;
2022;Anual;18,3;24,62;
2023;Anual;19,66;26,3;
2024;Anual;21,56;28,76;
2025;Anual;22,87;30,22;
