El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Hortaleza;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;9,34;14,29;
2006;Anual;10,57;15,82;
2007;Anual;11,02;15,86;
2008;Anual;12,01;16,9;
2009;Anual;12,74;17,47;
2010;Anual;12,8;17,34;
2011;Anual;12,62;16,93;
2012;Anual;11,19;15,43;
2013;Anual;10,39;14,41;
2014;Anual;9,5;13,14;
2015;Anual;8,62;12,07;
2016;Anual;8,7;12,19;
2017;Anual;8,84;12,41;
2018;Anual;9,31;13,12;
2019;Anual;10,14;14,1;
2020;Anual;10,96;15,32;
2021;Anual;11,19;15,82;
2022;Anual;11,31;15,74;
2023;Anual;12,35;17,08;
2024;Anual;13,71;18,99;
2025;Anual;14,61;19,99;
