El municipio en cifras
Población
Año;Periodos;Hortaleza;
1987;Anual;137274;
1988;Anual;138226;
1989;Anual;138854;
1990;Anual;140121;
1991;Anual;138260;
1992;Anual;138789;
1993;Anual;140075;
1994;Anual;140323;
1995;Anual;141308;
1996;Anual;140517;
1997;Anual;141468;
1998;Anual;142419;
1999;Anual;143335;
2000;Anual;143842;
2001;Anual;146493;
2002;Anual;148035;
2003;Anual;151746;
2004;Anual;152483;
2005;Anual;153848;
2006;Anual;158221;
2007;Anual;161661;
2008;Anual;168702;
2009;Anual;172388;
2010;Anual;174686;
2011;Anual;175648;
2012;Anual;174640;
2013;Anual;173966;
2014;Anual;172705;
2015;Anual;174343;
2016;Anual;177738;
2017;Anual;180462;
2018;Anual;183930;
2019;Anual;188267;
2020;Anual;193264;
2021;Anual;193228;
2022;Anual;195017;
2023;Anual;198391;
2024;Anual;205182;
2025;Anual;209541;
