El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;Hortaleza;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;44,17;71;
2011;Anual;50,99;69,87;
2012;Anual;54,28;70,49;
2013;Anual;61,48;73;
2014;Anual;61;73,66;
2015;Anual;61,66;76,17;
2016;Anual;62,23;79,58;
2017;Anual;61,58;81,08;
2018;Anual;65,82;83,22;
2019;Anual;67,85;85,23;
2020;Anual;69,19;85,5;
2021;Anual;69,95;83,51;
2022;Anual;74,93;88,8;
2023;Anual;82,93;91,68;
