El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;Hortaleza;Madrid;
2015;Enero;9,3;11,24;
2015;Febrero;9,32;11,3;
2015;Marzo;9,32;11,24;
2015;Abril;9,13;10,97;
2015;Mayo;8,8;10,62;
2015;Junio;8,57;10,33;
2015;Julio;8,58;10,25;
2015;Agosto;8,81;10,39;
2015;Septiembre;8,65;10,35;
2015;Octubre;8,65;10,4;
2015;Noviembre;8,47;10,27;
2015;Diciembre;8,32;10,07;
2016;Enero;8,45;10,23;
2016;Febrero;8,51;10,27;
2016;Marzo;8,49;10,22;
2016;Abril;8,31;10,02;
2016;Mayo;8,08;9,72;
2016;Junio;8,01;9,56;
2016;Julio;8,02;9,46;
2016;Agosto;8,14;9,57;
2016;Septiembre;7,91;9,46;
2016;Octubre;7,87;9,46;
2016;Noviembre;7,76;9,34;
2016;Diciembre;7,52;9,09;
2017;Enero;7,75;9,29;
2017;Febrero;7,78;9,35;
2017;Marzo;7,62;9,2;
2017;Abril;7,48;8,95;
2017;Mayo;7,31;8,74;
2017;Junio;7,22;8,6;
2017;Julio;7,33;8,63;
2017;Agosto;7,46;8,74;
2017;Septiembre;7,34;8,7;
2017;Octubre;7,34;8,7;
2017;Noviembre;7,09;8,48;
2017;Diciembre;7,05;8,28;
2018;Enero;7,15;8,53;
2018;Febrero;7,16;8,57;
2018;Marzo;7,04;8,48;
2018;Abril;6,88;8,3;
2018;Mayo;6,7;8,05;
2018;Junio;6,55;7,85;
2018;Julio;6,69;7,85;
2018;Agosto;6,72;7,91;
2018;Septiembre;6,56;7,87;
2018;Octubre;6,51;7,81;
2018;Noviembre;6,44;7,67;
2018;Diciembre;6,2;7,48;
2019;Enero;6,42;7,73;
2019;Febrero;6,38;7,82;
2019;Marzo;6,42;7,8;
2019;Abril;6,28;7,66;
2019;Mayo;6,16;7,48;
2019;Junio;6,15;7,35;
2019;Julio;6,22;7,37;
2019;Agosto;6,42;7,49;
2019;Septiembre;6,31;7,43;
2019;Octubre;6,33;7,52;
2019;Noviembre;6,22;7,45;
2019;Diciembre;6,19;7,3;
2020;Enero;6,33;7,54;
2020;Febrero;6,34;7,57;
2020;Marzo;6,55;7,8;
2020;Abril;7,23;8,74;
2020;Mayo;7,58;9,14;
2020;Junio;7,6;9,16;
2020;Julio;7,81;9,37;
2020;Agosto;8,01;9,5;
2020;Septiembre;7,93;9,36;
2020;Octubre;8;9,51;
2020;Noviembre;7,96;9,51;
2020;Diciembre;7,92;9,54;
2021;Enero;7,99;9,71;
2021;Febrero;8,15;9,87;
2021;Marzo;8,04;9,83;
2021;Abril;7,89;9,72;
2021;Mayo;7,75;9,48;
2021;Junio;7,65;9,29;
2021;Julio;7,67;9,14;
2021;Agosto;7,8;9,17;
2021;Septiembre;7,6;8,95;
2021;Octubre;7,38;8,71;
2021;Noviembre;7,21;8,51;
2021;Diciembre;6,72;7,91;
2022;Enero;6,56;7,74;
2022;Febrero;6,22;7,33;
2022;Marzo;6,15;7,28;
2022;Abril;5,93;7,01;
2022;Mayo;5,61;6,68;
2022;Junio;5,45;6,5;
2022;Julio;5,47;6,56;
2022;Agosto;5,58;6,6;
2022;Septiembre;5,42;6,6;
2022;Octubre;5,39;6,57;
2022;Noviembre;5,25;6,42;
2022;Diciembre;5,22;6,33;
2023;Enero;5,42;6,56;
2023;Febrero;5,44;6,67;
2023;Marzo;5,44;6,72;
2023;Abril;5,37;6,59;
2023;Mayo;5,18;6,38;
2023;Junio;5,19;6,32;
2023;Julio;5,16;6,2;
2023;Agosto;5,2;6,23;
2023;Septiembre;5,21;6,26;
2023;Octubre;5,15;6,23;
2023;Noviembre;5,08;6,13;
2023;Diciembre;4,97;6,02;
2024;Enero;5,03;6,23;
2024;Febrero;4,98;6,22;
2024;Marzo;4,98;6,24;
2024;Abril;4,9;6,07;
2024;Mayo;4,78;5,94;
2024;Junio;4,72;5,84;
2024;Julio;4,82;5,83;
2024;Agosto;4,9;5,87;
2024;Septiembre;4,88;5,87;
2024;Octubre;4,78;5,85;
2024;Noviembre;4,7;5,76;
2024;Diciembre;4,58;5,68;
2025;Enero;4,5;5,75;
2025;Febrero;4,59;5,84;
2025;Marzo;4,73;5,89;
2025;Abril;4,74;5,82;
2025;Mayo;4,67;5,69;
2025;Junio;4,56;5,57;
2025;Julio;4,62;5,59;
2025;Agosto;4,75;5,7;
2025;Septiembre;4,72;5,66;
2025;Octubre;4,74;5,71;
2025;Noviembre;4,66;5,64;
2025;Diciembre;4,67;5,61;
2026;Enero;4,73;5,69;
2026;Febrero;4,77;5,76;
