El municipio en cifras
Autónomos por lugar de trabajo sobre la población de 16 a 64 años (%)
Año;Periodos;Hortaleza;Madrid;
2006;Anual;;8,08;
2007;Anual;;8,45;
2008;Anual;;8,41;
2009;Anual;;7,99;
2010;Anual;4,96;8;
2011;Anual;5,02;8,38;
2012;Anual;4,52;8,52;
2013;Anual;4,75;9;
2014;Anual;5,42;8,85;
2015;Anual;5,78;9,26;
2016;Anual;5,79;9,39;
2017;Anual;6,11;9,54;
2018;Anual;4,76;9,62;
2019;Anual;6,63;8,96;
2020;Anual;6,76;8,95;
2021;Anual;6,5;8,87;
2022;Anual;6,34;9,02;
2023;Anual;6,44;9,8;
2024;Anual;;;
2025;Anual;;9;
