El municipio en cifras
Parados registrados
Año;Periodos;Hortaleza;
2012;Diciembre;10902;
2013;Enero;11179;
2013;Febrero;11474;
2013;Marzo;11478;
2013;Abril;11515;
2013;Mayo;11381;
2013;Junio;11132;
2013;Julio;11186;
2013;Agosto;11194;
2013;Septiembre;11303;
2013;Octubre;11439;
2013;Noviembre;11310;
2013;Diciembre;10953;
2014;Enero;11091;
2014;Febrero;11144;
2014;Marzo;11078;
2014;Abril;10825;
2014;Mayo;10494;
2014;Junio;10365;
2014;Julio;10587;
2014;Agosto;10683;
2014;Septiembre;10577;
2014;Octubre;10604;
2014;Noviembre;10476;
2014;Diciembre;10201;
2015;Enero;10401;
2015;Febrero;10447;
2015;Marzo;10465;
2015;Abril;10273;
2015;Mayo;9903;
2015;Junio;9674;
2015;Julio;9704;
2015;Agosto;9961;
2015;Septiembre;9772;
2015;Octubre;9824;
2015;Noviembre;9636;
2015;Diciembre;9456;
2016;Enero;9620;
2016;Febrero;9715;
2016;Marzo;9680;
2016;Abril;9504;
2016;Mayo;9270;
2016;Junio;9178;
2016;Julio;9202;
2016;Agosto;9324;
2016;Septiembre;9075;
2016;Octubre;9022;
2016;Noviembre;8918;
2016;Diciembre;8665;
2017;Enero;8935;
2017;Febrero;8988;
2017;Marzo;8812;
2017;Abril;8639;
2017;Mayo;8452;
2017;Junio;8377;
2017;Julio;8518;
2017;Agosto;8666;
2017;Septiembre;8541;
2017;Octubre;8492;
2017;Noviembre;8288;
2017;Diciembre;8241;
2018;Enero;8379;
2018;Febrero;8422;
2018;Marzo;8297;
2018;Abril;8113;
2018;Mayo;7921;
2018;Junio;7753;
2018;Julio;7927;
2018;Agosto;7966;
2018;Septiembre;7800;
2018;Octubre;7758;
2018;Noviembre;7695;
2018;Diciembre;7435;
2019;Enero;7705;
2019;Febrero;7683;
2019;Marzo;7729;
2019;Abril;7582;
2019;Mayo;7454;
2019;Junio;7470;
2019;Julio;7591;
2019;Agosto;7858;
2019;Septiembre;7750;
2019;Octubre;7780;
2019;Noviembre;7678;
2019;Diciembre;7653;
2020;Enero;7834;
2020;Febrero;7856;
2020;Marzo;8136;
2020;Abril;8988;
2020;Mayo;9415;
2020;Junio;9453;
2020;Julio;9695;
2020;Agosto;9942;
2020;Septiembre;9854;
2020;Octubre;9926;
2020;Noviembre;9865;
2020;Diciembre;9826;
2021;Enero;9915;
2021;Febrero;10088;
2021;Marzo;9902;
2021;Abril;9735;
2021;Mayo;9586;
2021;Junio;9450;
2021;Julio;9486;
2021;Agosto;9644;
2021;Septiembre;9412;
2021;Octubre;9136;
2021;Noviembre;8933;
2021;Diciembre;8344;
2022;Enero;8116;
2022;Febrero;7710;
2022;Marzo;7700;
2022;Abril;7461;
2022;Mayo;7077;
2022;Junio;6893;
2022;Julio;6935;
2022;Agosto;6935;
2022;Septiembre;6878;
2022;Octubre;6863;
2022;Noviembre;6703;
2022;Diciembre;6629;
2023;Enero;6880;
2023;Febrero;6915;
2023;Marzo;6906;
2023;Abril;6817;
2023;Mayo;6673;
2023;Junio;6678;
2023;Julio;6717;
2023;Agosto;6799;
2023;Septiembre;6811;
2023;Octubre;6770;
2023;Noviembre;6671;
2023;Diciembre;6572;
2024;Enero;6655;
2024;Febrero;6614;
2024;Marzo;6636;
2024;Abril;6536;
2024;Mayo;6405;
2024;Junio;6334;
2024;Julio;6488;
2024;Agosto;6598;
2024;Septiembre;6585;
2024;Octubre;6467;
2024;Noviembre;6165;
2024;Diciembre;6223;
2025;Enero;6102;
2025;Febrero;6236;
2025;Marzo;6419;
2025;Abril;6432;
2025;Mayo;6311;
2025;Junio;6156;
2025;Julio;6229;
2025;Agosto;6393;
2025;Septiembre;6347;
2025;Octubre;6392;
2025;Noviembre;6291;
2025;Diciembre;6311;
2026;Enero;6402;
2026;Febrero;6449;
