El municipio en cifras
Población
Año;Periodos;Villaverde;
1987;Anual;128412;
1988;Anual;127862;
1989;Anual;128013;
1990;Anual;128402;
1991;Anual;124785;
1992;Anual;124941;
1993;Anual;125286;
1994;Anual;125164;
1995;Anual;126463;
1996;Anual;123476;
1997;Anual;124008;
1998;Anual;124540;
1999;Anual;123861;
2000;Anual;123629;
2001;Anual;126501;
2002;Anual;130417;
2003;Anual;135540;
2004;Anual;140205;
2005;Anual;143388;
2006;Anual;146859;
2007;Anual;146184;
2008;Anual;148252;
2009;Anual;149727;
2010;Anual;149736;
2011;Anual;148599;
2012;Anual;146462;
2013;Anual;144286;
2014;Anual;142040;
2015;Anual;140599;
2016;Anual;141442;
2017;Anual;142608;
2018;Anual;145523;
2019;Anual;148883;
2020;Anual;154318;
2021;Anual;154808;
2022;Anual;153829;
2023;Anual;159038;
2024;Anual;167952;
2025;Anual;173183;
