El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Villaverde;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;1.876;3.729;5.605;42.053;92.109;134.162
2; 80 - 84;1.703;2.708;4.411;42.412;68.809;111.221
3; 75 - 79;1.924;2.943;4.867;53.602;80.108;133.710
4; 70 - 74;2.211;2.961;5.172;60.418;83.243;143.661
5; 65 - 69;3.444;4.073;7.517;80.493;102.569;183.062
6; 60 - 64;5.059;5.652;10.711;102.853;122.998;225.851
7; 55 - 59;6.010;6.694;12.704;116.074;132.847;248.921
8; 50 - 54;6.613;7.138;13.751;126.476;138.636;265.112
9; 45 - 49;6.524;6.972;13.496;130.316;139.236;269.552
10; 40 - 44;5.965;6.104;12.069;122.467;127.825;250.292
11; 35 - 39;6.146;6.125;12.271;122.464;125.667;248.131
12; 30 - 34;6.571;6.547;13.118;133.726;137.801;271.527
13; 25 - 29;6.467;6.329;12.796;124.072;132.589;256.661
14; 20 - 24;5.744;5.597;11.341;100.514;102.254;202.768
15; 15 - 19;5.051;4.802;9.853;84.747;81.427;166.174
16; 10 - 14;4.455;4.202;8.657;77.909;75.033;152.942
17; 5 - 9;3.935;3.898;7.833;71.169;68.166;139.335
18; 0 - 4;3.604;3.407;7.011;63.996;60.839;124.835
