El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Villaverde;Madrid;
2005;Anual;15,57;13,59;
2006;Anual;15,59;13,6;
2007;Anual;15,68;13,72;
2008;Anual;15,92;13,87;
2009;Anual;16,37;14,05;
2010;Anual;16,6;14,19;
2011;Anual;16,73;14,29;
2012;Anual;16,81;14,4;
2013;Anual;16,95;14,46;
2014;Anual;16,96;14,48;
2015;Anual;16,96;14,5;
2016;Anual;16,94;14,51;
2017;Anual;16,93;14,49;
2018;Anual;16,8;14,37;
2019;Anual;16,59;14,22;
2020;Anual;16,32;13,98;
2021;Anual;15,99;13,76;
2022;Anual;15,74;13,55;
2023;Anual;15,43;13,29;
2024;Anual;15,04;13,03;
2025;Anual;14,66;12,74;
