El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Villaverde;Madrid;
2005;Anual;67,6;67,8;
2006;Anual;67,6;67,7;
2007;Anual;67,5;67,5;
2008;Anual;67,5;67,5;
2009;Anual;67,1;67,4;
2010;Anual;66,6;67;
2011;Anual;66,2;66,7;
2012;Anual;65,8;66,2;
2013;Anual;65,3;65,9;
2014;Anual;64,9;65,3;
2015;Anual;64,7;65;
2016;Anual;64,9;65;
2017;Anual;65;65,1;
2018;Anual;65,4;65,2;
2019;Anual;66,01;65,53;
2020;Anual;66,79;65,96;
2021;Anual;67,37;66,21;
2022;Anual;67,57;66,17;
2023;Anual;68,22;66,51;
2024;Anual;68,95;67,01;
2025;Anual;69,42;67,25;
