El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Villaverde;Madrid;
2005;Anual;16,83;18,62;
2006;Anual;16,81;18,74;
2007;Anual;16,77;18,76;
2008;Anual;16,56;18,58;
2009;Anual;16,56;18,58;
2010;Anual;16,8;18,77;
2011;Anual;17,07;19,04;
2012;Anual;17,39;19,36;
2013;Anual;17,73;19,67;
2014;Anual;18,13;20,18;
2015;Anual;18,34;20,49;
2016;Anual;18,15;20,46;
2017;Anual;18,08;20,46;
2018;Anual;17,79;20,39;
2019;Anual;17,4;20,26;
2020;Anual;16,89;20,06;
2021;Anual;16,64;20,03;
2022;Anual;16,68;20,28;
2023;Anual;16,35;20,2;
2024;Anual;16,01;19,97;
2025;Anual;15,93;20,01;
