El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Villaverde;Madrid;
2005;Anual;19,07;26,61;
2006;Anual;19,77;27,11;
2007;Anual;20,98;28,12;
2008;Anual;22,06;28,96;
2009;Anual;23,43;29,9;
2010;Anual;24,77;30,78;
2011;Anual;26,21;31,72;
2012;Anual;28,17;32,61;
2013;Anual;29,97;33,51;
2014;Anual;31,74;34,33;
2015;Anual;33,67;35,02;
2016;Anual;35,25;35,49;
2017;Anual;36,93;36,1;
2018;Anual;38,02;36,19;
2019;Anual;38,2;36;
2020;Anual;37,6;35,2;
2021;Anual;38,1;35,4;
2022;Anual;37,5;35;
2023;Anual;36,79;34,59;
2024;Anual;36,5;34,7;
2025;Anual;36,32;34,76;
