El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;Villaverde;Madrid;
2015;Enero;0;11,24;
2015;Febrero;0;11,3;
2015;Marzo;0;11,24;
2015;Abril;0;10,97;
2015;Mayo;0;10,62;
2015;Junio;0;10,33;
2015;Julio;0;10,25;
2015;Agosto;0;10,39;
2015;Septiembre;0;10,35;
2015;Octubre;0;10,4;
2015;Noviembre;0;10,27;
2015;Diciembre;0;10,07;
2016;Enero;0;10,23;
2016;Febrero;0;10,27;
2016;Marzo;0;10,22;
2016;Abril;0;10,02;
2016;Mayo;0;9,72;
2016;Junio;0;9,56;
2016;Julio;0;9,46;
2016;Agosto;0;9,57;
2016;Septiembre;0;9,46;
2016;Octubre;0;9,46;
2016;Noviembre;0;9,34;
2016;Diciembre;0;9,09;
2017;Enero;0;9,29;
2017;Febrero;0;9,35;
2017;Marzo;0;9,2;
2017;Abril;0;8,95;
2017;Mayo;0;8,74;
2017;Junio;0;8,6;
2017;Julio;0;8,63;
2017;Agosto;0;8,74;
2017;Septiembre;0;8,7;
2017;Octubre;0;8,7;
2017;Noviembre;0;8,48;
2017;Diciembre;0;8,28;
2018;Enero;0;8,53;
2018;Febrero;0;8,57;
2018;Marzo;0;8,48;
2018;Abril;0;8,3;
2018;Mayo;11,45;8,05;
2018;Junio;11,16;7,85;
2018;Julio;11,01;7,85;
2018;Agosto;11,04;7,91;
2018;Septiembre;11,1;7,87;
2018;Octubre;11;7,81;
2018;Noviembre;10,85;7,67;
2018;Diciembre;10,54;7,48;
2019;Enero;10,87;7,73;
2019;Febrero;10,91;7,82;
2019;Marzo;10,86;7,8;
2019;Abril;10,68;7,66;
2019;Mayo;10,48;7,48;
2019;Junio;10,29;7,35;
2019;Julio;10,11;7,37;
2019;Agosto;10,13;7,49;
2019;Septiembre;10,2;7,43;
2019;Octubre;10,38;7,52;
2019;Noviembre;10,23;7,45;
2019;Diciembre;10;7,3;
2020;Enero;10,34;7,54;
2020;Febrero;10,42;7,57;
2020;Marzo;10,76;7,8;
2020;Abril;12,44;8,74;
2020;Mayo;12,89;9,14;
2020;Junio;12,61;9,16;
2020;Julio;12,79;9,37;
2020;Agosto;13,02;9,5;
2020;Septiembre;12,93;9,36;
2020;Octubre;13,22;9,51;
2020;Noviembre;13,3;9,51;
2020;Diciembre;13,4;9,54;
2021;Enero;13,67;9,71;
2021;Febrero;13,9;9,87;
2021;Marzo;13,93;9,83;
2021;Abril;13,69;9,72;
2021;Mayo;13,28;9,48;
2021;Junio;12,91;9,29;
2021;Julio;12,53;9,14;
2021;Agosto;12,4;9,17;
2021;Septiembre;12,12;8,95;
2021;Octubre;11,93;8,71;
2021;Noviembre;11,71;8,51;
2021;Diciembre;10,94;7,91;
2022;Enero;10,71;7,74;
2022;Febrero;10,24;7,33;
2022;Marzo;10,25;7,28;
2022;Abril;9,78;7,01;
2022;Mayo;9,16;6,68;
2022;Junio;8,92;6,5;
2022;Julio;8,87;6,56;
2022;Agosto;8,78;6,6;
2022;Septiembre;8,88;6,6;
2022;Octubre;8,88;6,57;
2022;Noviembre;8,7;6,42;
2022;Diciembre;8,52;6,33;
2023;Enero;8,83;6,56;
2023;Febrero;9,16;6,67;
2023;Marzo;9,25;6,72;
2023;Abril;9,07;6,59;
2023;Mayo;8,77;6,38;
2023;Junio;8,66;6,32;
2023;Julio;8,26;6,2;
2023;Agosto;8,25;6,23;
2023;Septiembre;8,38;6,26;
2023;Octubre;8,37;6,23;
2023;Noviembre;8,22;6,13;
2023;Diciembre;8,02;6,02;
2024;Enero;8,37;6,23;
2024;Febrero;8,43;6,22;
2024;Marzo;8,38;6,24;
2024;Abril;8,15;6,07;
2024;Mayo;7,92;5,94;
2024;Junio;7,76;5,84;
2024;Julio;7,61;5,83;
2024;Agosto;7,59;5,87;
2024;Septiembre;7,63;5,87;
2024;Octubre;7,75;5,85;
2024;Noviembre;7,56;5,76;
2024;Diciembre;7,42;5,68;
2025;Enero;7,52;5,75;
2025;Febrero;7,64;5,84;
2025;Marzo;7,81;5,89;
2025;Abril;7,68;5,82;
2025;Mayo;7,51;5,69;
2025;Junio;7,3;5,57;
2025;Julio;7,13;5,59;
2025;Agosto;7,28;5,7;
2025;Septiembre;7,32;5,66;
2025;Octubre;7,47;5,71;
2025;Noviembre;7,31;5,64;
2025;Diciembre;7,25;5,61;
2026;Enero;7,38;5,69;
2026;Febrero;7,55;5,76;
