El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;Villaverde;Madrid;
2005;Anual;18,7;16,3;
2006;Anual;21,4;17,9;
2007;Anual;22,9;18,4;
2008;Anual;25,4;19,8;
2009;Anual;27;20,8;
2010;Anual;27,4;21,1;
2011;Anual;27,2;21,1;
2012;Anual;26,5;20,4;
2013;Anual;26;20,2;
2014;Anual;25,4;19,5;
2015;Anual;25,3;19,3;
2016;Anual;25,9;19,7;
2017;Anual;26,6;20,1;
2018;Anual;28,31;21,03;
2019;Anual;30,05;22,16;
2020;Anual;32,26;23,61;
2021;Anual;33,19;24,32;
2022;Anual;33,52;24,62;
2023;Anual;36,09;26,3;
2024;Anual;39,36;28,76;
2025;Anual;41,21;30,22;
