El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;Villaverde;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;38,36;71;
2011;Anual;40,73;69,87;
2012;Anual;41,96;70,49;
2013;Anual;44,87;73;
2014;Anual;41,41;73,66;
2015;Anual;41,66;76,17;
2016;Anual;42,92;79,58;
2017;Anual;41,29;81,08;
2018;Anual;43;83,22;
2019;Anual;41,42;85,23;
2020;Anual;40,81;85,5;
2021;Anual;39,52;83,51;
2022;Anual;44,11;88,8;
2023;Anual;30,68;91,68;
