El municipio en cifras
Autónomos por lugar de trabajo sobre la población de 16 a 64 años (%)
Año;Periodos;Villaverde;Madrid;
2006;Anual;;8,08;
2007;Anual;;8,45;
2008;Anual;;8,41;
2009;Anual;;7,99;
2010;Anual;3,66;8;
2011;Anual;3,77;8,38;
2012;Anual;3,35;8,52;
2013;Anual;3,56;9;
2014;Anual;3,98;8,85;
2015;Anual;4,15;9,26;
2016;Anual;4,25;9,39;
2017;Anual;4,7;9,54;
2018;Anual;3,92;9,62;
2019;Anual;5,13;8,96;
2020;Anual;5,19;8,95;
2021;Anual;5;8,87;
2022;Anual;5,03;9,02;
2023;Anual;5,04;9,8;
2024;Anual;;;
2025;Anual;;9;
