El municipio en cifras
Parados registrados
Año;Periodos;Villaverde;
2012;Diciembre;15631;
2013;Enero;16133;
2013;Febrero;16217;
2013;Marzo;16525;
2013;Abril;16447;
2013;Mayo;16183;
2013;Junio;15884;
2013;Julio;15669;
2013;Agosto;15626;
2013;Septiembre;15866;
2013;Octubre;16113;
2013;Noviembre;16110;
2013;Diciembre;15657;
2014;Enero;15884;
2014;Febrero;16055;
2014;Marzo;15919;
2014;Abril;15567;
2014;Mayo;15129;
2014;Junio;14717;
2014;Julio;14640;
2014;Agosto;14618;
2014;Septiembre;14992;
2014;Octubre;15067;
2014;Noviembre;14984;
2014;Diciembre;14699;
2015;Enero;14887;
2015;Febrero;14929;
2015;Marzo;14889;
2015;Abril;14410;
2015;Mayo;14090;
2015;Junio;13765;
2015;Julio;13482;
2015;Agosto;13431;
2015;Septiembre;13578;
2015;Octubre;13758;
2015;Noviembre;13656;
2015;Diciembre;13324;
2016;Enero;13554;
2016;Febrero;13654;
2016;Marzo;13524;
2016;Abril;13277;
2016;Mayo;12853;
2016;Junio;12533;
2016;Julio;12244;
2016;Agosto;12293;
2016;Septiembre;12434;
2016;Octubre;12515;
2016;Noviembre;12325;
2016;Diciembre;12128;
2017;Enero;12361;
2017;Febrero;12407;
2017;Marzo;12293;
2017;Abril;12076;
2017;Mayo;11790;
2017;Junio;11426;
2017;Julio;11374;
2017;Agosto;11379;
2017;Septiembre;11578;
2017;Octubre;11661;
2017;Noviembre;11340;
2017;Diciembre;10989;
2018;Enero;11450;
2018;Febrero;11519;
2018;Marzo;11480;
2018;Abril;11303;
2018;Mayo;11071;
2018;Junio;10810;
2018;Julio;10679;
2018;Agosto;10733;
2018;Septiembre;10813;
2018;Octubre;10737;
2018;Noviembre;10591;
2018;Diciembre;10354;
2019;Enero;10707;
2019;Febrero;10765;
2019;Marzo;10746;
2019;Abril;10595;
2019;Mayo;10453;
2019;Junio;10325;
2019;Julio;10188;
2019;Agosto;10256;
2019;Septiembre;10375;
2019;Octubre;10561;
2019;Noviembre;10478;
2019;Diciembre;10295;
2020;Enero;10703;
2020;Febrero;10808;
2020;Marzo;11202;
2020;Abril;12939;
2020;Mayo;13402;
2020;Junio;13121;
2020;Julio;13292;
2020;Agosto;13530;
2020;Septiembre;13510;
2020;Octubre;13812;
2020;Noviembre;13926;
2020;Diciembre;14037;
2021;Enero;14326;
2021;Febrero;14540;
2021;Marzo;14456;
2021;Abril;14254;
2021;Mayo;13833;
2021;Junio;13431;
2021;Julio;13065;
2021;Agosto;12932;
2021;Septiembre;12660;
2021;Octubre;12462;
2021;Noviembre;12232;
2021;Diciembre;11466;
2022;Enero;11166;
2022;Febrero;10724;
2022;Marzo;10772;
2022;Abril;10355;
2022;Mayo;9767;
2022;Junio;9559;
2022;Julio;9513;
2022;Agosto;9513;
2022;Septiembre;9566;
2022;Octubre;9617;
2022;Noviembre;9459;
2022;Diciembre;9234;
2023;Enero;9578;
2023;Febrero;9928;
2023;Marzo;10032;
2023;Abril;9835;
2023;Mayo;9796;
2023;Junio;9673;
2023;Julio;9363;
2023;Agosto;9379;
2023;Septiembre;9529;
2023;Octubre;9588;
2023;Noviembre;9418;
2023;Diciembre;9292;
2024;Enero;9741;
2024;Febrero;9874;
2024;Marzo;9850;
2024;Abril;9620;
2024;Mayo;9396;
2024;Junio;9238;
2024;Julio;9090;
2024;Agosto;9067;
2024;Septiembre;9143;
2024;Octubre;9331;
2024;Noviembre;8984;
2024;Diciembre;8961;
2025;Enero;9084;
2025;Febrero;9252;
2025;Marzo;9457;
2025;Abril;9305;
2025;Mayo;9073;
2025;Junio;8805;
2025;Julio;8618;
2025;Agosto;8767;
2025;Septiembre;8796;
2025;Octubre;9002;
2025;Noviembre;8807;
2025;Diciembre;8723;
2026;Enero;8885;
2026;Febrero;9085;
