El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Villaverde;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;17,73;14,29;
2006;Anual;20,2;15,82;
2007;Anual;21,28;15,86;
2008;Anual;23,16;16,9;
2009;Anual;24,17;17,47;
2010;Anual;23,82;17,34;
2011;Anual;23,13;16,93;
2012;Anual;21,17;15,43;
2013;Anual;19,35;14,41;
2014;Anual;17,66;13,14;
2015;Anual;16,12;12,07;
2016;Anual;16,34;12,19;
2017;Anual;16,73;12,41;
2018;Anual;18,03;13,12;
2019;Anual;19,45;14,1;
2020;Anual;21,22;15,32;
2021;Anual;21,82;15,82;
2022;Anual;21,59;15,74;
2023;Anual;23,64;17,08;
2024;Anual;26,28;18,99;
2025;Anual;27,58;19,99;
