El municipio en cifras
Población
Año;Periodos;Villa de Vallecas;
1987;Anual;56815;
1988;Anual;56351;
1989;Anual;57070;
1990;Anual;58216;
1991;Anual;59488;
1992;Anual;59856;
1993;Anual;60578;
1994;Anual;61012;
1995;Anual;61142;
1996;Anual;60383;
1997;Anual;60893;
1998;Anual;61403;
1999;Anual;61184;
2000;Anual;61041;
2001;Anual;62132;
2002;Anual;62978;
2003;Anual;64177;
2004;Anual;65162;
2005;Anual;65842;
2006;Anual;66846;
2007;Anual;67163;
2008;Anual;73281;
2009;Anual;80711;
2010;Anual;88201;
2011;Anual;92365;
2012;Anual;95076;
2013;Anual;97490;
2014;Anual;98767;
2015;Anual;99636;
2016;Anual;102140;
2017;Anual;104421;
2018;Anual;107649;
2019;Anual;110436;
2020;Anual;114512;
2021;Anual;114733;
2022;Anual;114817;
2023;Anual;117501;
2024;Anual;122337;
2025;Anual;126519;
