El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Villa de Vallecas;Madrid;
2005;Anual;16,84;13,59;
2006;Anual;16,57;13,6;
2007;Anual;16,44;13,72;
2008;Anual;17,09;13,87;
2009;Anual;17,31;14,05;
2010;Anual;17,62;14,19;
2011;Anual;17,82;14,29;
2012;Anual;18,05;14,4;
2013;Anual;18,44;14,46;
2014;Anual;18,85;14,48;
2015;Anual;19,07;14,5;
2016;Anual;19,22;14,51;
2017;Anual;19,47;14,49;
2018;Anual;19,45;14,37;
2019;Anual;19,3;14,22;
2020;Anual;19,05;13,98;
2021;Anual;18,91;13,76;
2022;Anual;18,68;13,55;
2023;Anual;18,24;13,29;
2024;Anual;17,74;13,03;
2025;Anual;17,27;12,74;
