El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;Villa de Vallecas;Madrid;
2005;Anual;70,7;67,8;
2006;Anual;70,7;67,7;
2007;Anual;70,8;67,5;
2008;Anual;70,7;67,5;
2009;Anual;71,1;67,4;
2010;Anual;71,3;67;
2011;Anual;71,2;66,7;
2012;Anual;70,9;66,2;
2013;Anual;70,3;65,9;
2014;Anual;69,6;65,3;
2015;Anual;69;65;
2016;Anual;68,7;65;
2017;Anual;68,3;65,1;
2018;Anual;68,2;65,2;
2019;Anual;68,22;65,53;
2020;Anual;68,37;65,96;
2021;Anual;68,43;66,21;
2022;Anual;68,26;66,17;
2023;Anual;68,51;66,51;
2024;Anual;68,8;67,01;
2025;Anual;69,01;67,25;
