El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Villa de Vallecas;Madrid;
2005;Anual;12,47;18,62;
2006;Anual;12,77;18,74;
2007;Anual;12,79;18,76;
2008;Anual;12,21;18,58;
2009;Anual;11,58;18,58;
2010;Anual;11,08;18,77;
2011;Anual;11,01;19,04;
2012;Anual;11,06;19,36;
2013;Anual;11,26;19,67;
2014;Anual;11,58;20,18;
2015;Anual;11,93;20,49;
2016;Anual;12,04;20,46;
2017;Anual;12,21;20,46;
2018;Anual;12,36;20,39;
2019;Anual;12,48;20,26;
2020;Anual;12,58;20,06;
2021;Anual;12,66;20,03;
2022;Anual;13,06;20,28;
2023;Anual;13,25;20,2;
2024;Anual;13,46;19,97;
2025;Anual;13,73;20,01;
