El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Villa de Vallecas;Madrid;
2005;Anual;21,07;26,61;
2006;Anual;21,58;27,11;
2007;Anual;22,44;28,12;
2008;Anual;23,59;28,96;
2009;Anual;24,61;29,9;
2010;Anual;24,95;30,78;
2011;Anual;25,84;31,72;
2012;Anual;26,58;32,61;
2013;Anual;27,67;33,51;
2014;Anual;28,76;34,33;
2015;Anual;29,03;35,02;
2016;Anual;29,16;35,49;
2017;Anual;29,52;36,1;
2018;Anual;29,57;36,19;
2019;Anual;29,4;36;
2020;Anual;28,7;35,2;
2021;Anual;28,1;35,4;
2022;Anual;27,1;35;
2023;Anual;26,83;34,59;
2024;Anual;26,6;34,7;
2025;Anual;26,18;34,76;
