El municipio en cifras
Índice de feminidad
Año;Periodos;Villa de Vallecas;Madrid;
2005;Anual;103,4;112,8;
2006;Anual;103,6;112,5;
2007;Anual;103,9;112,6;
2008;Anual;104,4;112,4;
2009;Anual;103,5;112,3;
2010;Anual;103,2;112,7;
2011;Anual;103,6;113,3;
2012;Anual;104,1;114;
2013;Anual;104,9;114,5;
2014;Anual;105,4;114,8;
2015;Anual;105,7;115;
2016;Anual;105,8;114,9;
2017;Anual;105,9;114,8;
2018;Anual;105,6;114,7;
2019;Anual;105,7;114,7;
2020;Anual;106,3;114,5;
2021;Anual;106,3;114,4;
2022;Anual;106,6;114,1;
2023;Anual;107,1;114,1;
2024;Anual;106,8;113,5;
2025;Anual;107,1;113,1;
