El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;Villa de Vallecas;Madrid;
2005;Anual;13,2;16,3;
2006;Anual;14,9;17,9;
2007;Anual;16,1;18,4;
2008;Anual;18;19,8;
2009;Anual;18,7;20,8;
2010;Anual;18,8;21,1;
2011;Anual;18,8;21,1;
2012;Anual;17,7;20,4;
2013;Anual;17,2;20,2;
2014;Anual;16,3;19,5;
2015;Anual;16,1;19,3;
2016;Anual;16;19,7;
2017;Anual;16,3;20,1;
2018;Anual;17,18;21,03;
2019;Anual;18,43;22,16;
2020;Anual;19,98;23,61;
2021;Anual;20,82;24,32;
2022;Anual;21,41;24,62;
2023;Anual;23,31;26,3;
2024;Anual;25,47;28,76;
2025;Anual;27,19;30,22;
