El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Villa de Vallecas;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;12,16;14,29;
2006;Anual;13,97;15,82;
2007;Anual;15,02;15,86;
2008;Anual;16,72;16,9;
2009;Anual;17,01;17,47;
2010;Anual;16,64;17,34;
2011;Anual;16,3;16,93;
2012;Anual;14,44;15,43;
2013;Anual;13,34;14,41;
2014;Anual;11,98;13,14;
2015;Anual;10,88;12,07;
2016;Anual;10,66;12,19;
2017;Anual;10,7;12,41;
2018;Anual;11,26;13,12;
2019;Anual;12,26;14,1;
2020;Anual;13,47;15,32;
2021;Anual;14,05;15,82;
2022;Anual;14,26;15,74;
2023;Anual;15,68;17,08;
2024;Anual;17,16;18,99;
2025;Anual;18,15;19,99;
