El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;Villa de Vallecas;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;20,18;71;
2011;Anual;20,05;69,87;
2012;Anual;19,17;70,49;
2013;Anual;26,78;73;
2014;Anual;26,93;73,66;
2015;Anual;31,81;76,17;
2016;Anual;36,01;79,58;
2017;Anual;36,17;81,08;
2018;Anual;38;83,22;
2019;Anual;41,1;85,23;
2020;Anual;41,27;85,5;
2021;Anual;43,06;83,51;
2022;Anual;48,48;88,8;
2023;Anual;50,73;91,68;
