El municipio en cifras
Autónomos por lugar de trabajo sobre la población de 16 a 64 años (%)
Año;Periodos;Villa de Vallecas;Madrid;
2006;Anual;;8,08;
2007;Anual;;8,45;
2008;Anual;;8,41;
2009;Anual;;7,99;
2010;Anual;3,21;8;
2011;Anual;3,21;8,38;
2012;Anual;2,86;8,52;
2013;Anual;3,03;9;
2014;Anual;3,45;8,85;
2015;Anual;3,63;9,26;
2016;Anual;3,71;9,39;
2017;Anual;4,04;9,54;
2018;Anual;3,03;9,62;
2019;Anual;4,61;8,96;
2020;Anual;4,81;8,95;
2021;Anual;4,73;8,87;
2022;Anual;4,6;9,02;
2023;Anual;4,66;9,8;
2024;Anual;;;
2025;Anual;;9;
