El municipio en cifras
Parados registrados
Año;Periodos;Villa de Vallecas;
2012;Diciembre;9723;
2013;Enero;10019;
2013;Febrero;10145;
2013;Marzo;10060;
2013;Abril;10153;
2013;Mayo;9968;
2013;Junio;9869;
2013;Julio;9849;
2013;Agosto;10008;
2013;Septiembre;9984;
2013;Octubre;10029;
2013;Noviembre;9982;
2013;Diciembre;9635;
2014;Enero;9842;
2014;Febrero;9893;
2014;Marzo;9881;
2014;Abril;9748;
2014;Mayo;9370;
2014;Junio;9161;
2014;Julio;9273;
2014;Agosto;9283;
2014;Septiembre;9174;
2014;Octubre;9341;
2014;Noviembre;9285;
2014;Diciembre;9067;
2015;Enero;9072;
2015;Febrero;9199;
2015;Marzo;9131;
2015;Abril;8965;
2015;Mayo;8786;
2015;Junio;8586;
2015;Julio;8336;
2015;Agosto;8456;
2015;Septiembre;8472;
2015;Octubre;8542;
2015;Noviembre;8402;
2015;Diciembre;8224;
2016;Enero;8335;
2016;Febrero;8421;
2016;Marzo;8374;
2016;Abril;8213;
2016;Mayo;7991;
2016;Junio;7982;
2016;Julio;7929;
2016;Agosto;8070;
2016;Septiembre;7954;
2016;Octubre;7882;
2016;Noviembre;7788;
2016;Diciembre;7648;
2017;Enero;7764;
2017;Febrero;7798;
2017;Marzo;7702;
2017;Abril;7581;
2017;Mayo;7516;
2017;Junio;7464;
2017;Julio;7545;
2017;Agosto;7684;
2017;Septiembre;7632;
2017;Octubre;7603;
2017;Noviembre;7396;
2017;Diciembre;7246;
2018;Enero;7493;
2018;Febrero;7587;
2018;Marzo;7576;
2018;Abril;7383;
2018;Mayo;7221;
2018;Junio;7042;
2018;Julio;7123;
2018;Agosto;7130;
2018;Septiembre;7068;
2018;Octubre;6986;
2018;Noviembre;6974;
2018;Diciembre;6863;
2019;Enero;7065;
2019;Febrero;7169;
2019;Marzo;7273;
2019;Abril;7212;
2019;Mayo;7037;
2019;Junio;7040;
2019;Julio;6658;
2019;Agosto;7199;
2019;Septiembre;7144;
2019;Octubre;7222;
2019;Noviembre;7216;
2019;Diciembre;6993;
2020;Enero;7331;
2020;Febrero;7306;
2020;Marzo;7551;
2020;Abril;8228;
2020;Mayo;8556;
2020;Junio;8568;
2020;Julio;8644;
2020;Agosto;8767;
2020;Septiembre;8580;
2020;Octubre;8757;
2020;Noviembre;8791;
2020;Diciembre;8744;
2021;Enero;8819;
2021;Febrero;8949;
2021;Marzo;8787;
2021;Abril;8817;
2021;Mayo;8514;
2021;Junio;8417;
2021;Julio;8323;
2021;Agosto;8384;
2021;Septiembre;8156;
2021;Octubre;8114;
2021;Noviembre;7895;
2021;Diciembre;7407;
2022;Enero;7250;
2022;Febrero;6971;
2022;Marzo;7038;
2022;Abril;6852;
2022;Mayo;6627;
2022;Junio;6129;
2022;Julio;6426;
2022;Agosto;6426;
2022;Septiembre;6438;
2022;Octubre;6473;
2022;Noviembre;6243;
2022;Diciembre;6088;
2023;Enero;6385;
2023;Febrero;6619;
2023;Marzo;6645;
2023;Abril;6566;
2023;Mayo;6524;
2023;Junio;6453;
2023;Julio;6386;
2023;Agosto;6424;
2023;Septiembre;6471;
2023;Octubre;6465;
2023;Noviembre;6330;
2023;Diciembre;6257;
2024;Enero;6479;
2024;Febrero;6544;
2024;Marzo;6572;
2024;Abril;6348;
2024;Mayo;6307;
2024;Junio;6259;
2024;Julio;6290;
2024;Agosto;6299;
2024;Septiembre;6304;
2024;Octubre;6283;
2024;Noviembre;3159;
2024;Diciembre;5294;
2025;Enero;5428;
2025;Febrero;5459;
2025;Marzo;6371;
2025;Abril;6225;
2025;Mayo;6071;
2025;Junio;5979;
2025;Julio;6000;
2025;Agosto;6126;
2025;Septiembre;6011;
2025;Octubre;6065;
2025;Noviembre;5964;
2025;Diciembre;5944;
2026;Enero;5973;
2026;Febrero;6120;
