El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;Villa de Vallecas;Madrid;
2015;Enero;13,16;11,24;
2015;Febrero;13,31;11,3;
2015;Marzo;13,19;11,24;
2015;Abril;12,89;10,97;
2015;Mayo;12,63;10,62;
2015;Junio;12,31;10,33;
2015;Julio;11,91;10,25;
2015;Agosto;12,09;10,39;
2015;Septiembre;12,11;10,35;
2015;Octubre;12,16;10,4;
2015;Noviembre;11,94;10,27;
2015;Diciembre;11,7;10,07;
2016;Enero;11,84;10,23;
2016;Febrero;11,92;10,27;
2016;Marzo;11,87;10,22;
2016;Abril;11,61;10,02;
2016;Mayo;11,27;9,72;
2016;Junio;11,26;9,56;
2016;Julio;11,15;9,46;
2016;Agosto;11,36;9,57;
2016;Septiembre;11,18;9,46;
2016;Octubre;11,07;9,46;
2016;Noviembre;10,91;9,34;
2016;Diciembre;10,7;9,09;
2017;Enero;10,86;9,29;
2017;Febrero;10,89;9,35;
2017;Marzo;10,73;9,2;
2017;Abril;10,56;8,95;
2017;Mayo;10,44;8,74;
2017;Junio;10,31;8,6;
2017;Julio;10,39;8,63;
2017;Agosto;10,57;8,74;
2017;Septiembre;10,47;8,7;
2017;Octubre;10,47;8,7;
2017;Noviembre;10,07;8,48;
2017;Diciembre;9,87;8,28;
2018;Enero;10,18;8,53;
2018;Febrero;10,28;8,57;
2018;Marzo;10,25;8,48;
2018;Abril;9,97;8,3;
2018;Mayo;9,72;8,05;
2018;Junio;9,46;7,85;
2018;Julio;9,56;7,85;
2018;Agosto;9,55;7,91;
2018;Septiembre;9,44;7,87;
2018;Octubre;9,31;7,81;
2018;Noviembre;9,28;7,67;
2018;Diciembre;9,1;7,48;
2019;Enero;9,35;7,73;
2019;Febrero;9,47;7,82;
2019;Marzo;9,59;7,8;
2019;Abril;9,49;7,66;
2019;Mayo;9,23;7,48;
2019;Junio;9,19;7,35;
2019;Julio;8,63;7,37;
2019;Agosto;9,3;7,49;
2019;Septiembre;9,2;7,43;
2019;Octubre;9,3;7,52;
2019;Noviembre;9,23;7,45;
2019;Diciembre;8,92;7,3;
2020;Enero;9,33;7,54;
2020;Febrero;9,28;7,57;
2020;Marzo;9,56;7,8;
2020;Abril;10,42;8,74;
2020;Mayo;10,85;9,14;
2020;Junio;10,84;9,16;
2020;Julio;10,95;9,37;
2020;Agosto;11,11;9,5;
2020;Septiembre;10,86;9,36;
2020;Octubre;11,09;9,51;
2020;Noviembre;11,12;9,51;
2020;Diciembre;11,07;9,54;
2021;Enero;11,16;9,71;
2021;Febrero;11,36;9,87;
2021;Marzo;11,19;9,83;
2021;Abril;11,23;9,72;
2021;Mayo;10,84;9,48;
2021;Junio;10,73;9,29;
2021;Julio;10,6;9,14;
2021;Agosto;10,67;9,17;
2021;Septiembre;10,36;8,95;
2021;Octubre;10,31;8,71;
2021;Noviembre;10,03;8,51;
2021;Diciembre;9,38;7,91;
2022;Enero;9,22;7,74;
2022;Febrero;8,83;7,33;
2022;Marzo;8,9;7,28;
2022;Abril;8,62;7,01;
2022;Mayo;8,31;6,68;
2022;Junio;7,66;6,5;
2022;Julio;8,02;6,56;
2022;Agosto;8,07;6,6;
2022;Septiembre;8,02;6,6;
2022;Octubre;8,03;6,57;
2022;Noviembre;7,73;6,42;
2022;Diciembre;7,56;6,33;
2023;Enero;7,93;6,56;
2023;Febrero;8,22;6,67;
2023;Marzo;8,25;6,72;
2023;Abril;8,16;6,59;
2023;Mayo;7,97;6,38;
2023;Junio;7,88;6,32;
2023;Julio;7,71;6,2;
2023;Agosto;7,73;6,23;
2023;Septiembre;7,79;6,26;
2023;Octubre;7,74;6,23;
2023;Noviembre;7,57;6,13;
2023;Diciembre;7,43;6,02;
2024;Enero;7,67;6,23;
2024;Febrero;7,72;6,22;
2024;Marzo;7,72;6,24;
2024;Abril;7,43;6,07;
2024;Mayo;7,34;5,94;
2024;Junio;7,27;5,84;
2024;Julio;7,29;5,83;
2024;Agosto;7,29;5,87;
2024;Septiembre;7,28;5,87;
2024;Octubre;7,22;5,85;
2024;Noviembre;7,03;5,76;
2024;Diciembre;6,05;5,68;
2025;Enero;6,2;5,75;
2025;Febrero;6,22;5,84;
2025;Marzo;7,25;5,89;
2025;Abril;7,07;5,82;
2025;Mayo;6,92;5,69;
2025;Junio;6,82;5,57;
2025;Julio;6,83;5,59;
2025;Agosto;6,98;5,7;
2025;Septiembre;6,86;5,66;
2025;Octubre;6,89;5,71;
2025;Noviembre;6,78;5,64;
2025;Diciembre;6,74;5,61;
2026;Enero;6,76;5,69;
2026;Febrero;6,93;5,76;
