El municipio en cifras
Población
Año;Periodos;Vicálvaro;
1987;Anual;38411;
1988;Anual;38903;
1989;Anual;39614;
1990;Anual;40385;
1991;Anual;40396;
1992;Anual;40576;
1993;Anual;40959;
1994;Anual;41001;
1995;Anual;40727;
1996;Anual;41336;
1997;Anual;43963;
1998;Anual;46589;
1999;Anual;48704;
2000;Anual;50070;
2001;Anual;51887;
2002;Anual;54477;
2003;Anual;57573;
2004;Anual;61165;
2005;Anual;63881;
2006;Anual;66563;
2007;Anual;66299;
2008;Anual;68716;
2009;Anual;70050;
2010;Anual;70726;
2011;Anual;71062;
2012;Anual;70757;
2013;Anual;70391;
2014;Anual;69729;
2015;Anual;69363;
2016;Anual;69800;
2017;Anual;70051;
2018;Anual;70962;
2019;Anual;72126;
2020;Anual;74048;
2021;Anual;75485;
2022;Anual;79328;
2023;Anual;83804;
2024;Anual;89772;
2025;Anual;95233;
