El municipio en cifras
Estructura de la población
Periodo;Anual;2025
Vicálvaro;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;813;1.362;2.175;42.053;92.109;134.162
2; 80 - 84;859;1.319;2.178;42.412;68.809;111.221
3; 75 - 79;874;1.342;2.216;53.602;80.108;133.710
4; 70 - 74;1.034;1.282;2.316;60.418;83.243;143.661
5; 65 - 69;1.717;1.933;3.650;80.493;102.569;183.062
6; 60 - 64;2.798;2.998;5.796;102.853;122.998;225.851
7; 55 - 59;3.513;3.947;7.460;116.074;132.847;248.921
8; 50 - 54;4.355;4.456;8.811;126.476;138.636;265.112
9; 45 - 49;3.747;4.036;7.783;130.316;139.236;269.552
10; 40 - 44;3.298;3.318;6.616;122.467;127.825;250.292
11; 35 - 39;3.716;3.746;7.462;122.464;125.667;248.131
12; 30 - 34;3.624;3.724;7.348;133.726;137.801;271.527
13; 25 - 29;2.888;3.019;5.907;124.072;132.589;256.661
14; 20 - 24;2.849;2.841;5.690;100.514;102.254;202.768
15; 15 - 19;3.055;2.939;5.994;84.747;81.427;166.174
16; 10 - 14;2.520;2.548;5.068;77.909;75.033;152.942
17; 5 - 9;2.145;2.020;4.165;71.169;68.166;139.335
18; 0 - 4;2.355;2.243;4.598;63.996;60.839;124.835
