El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;Vicálvaro;Madrid;
2005;Anual;11,95;18,62;
2006;Anual;12,25;18,74;
2007;Anual;12,44;18,76;
2008;Anual;12,38;18,58;
2009;Anual;12,63;18,58;
2010;Anual;12,86;18,77;
2011;Anual;13,15;19,04;
2012;Anual;13,44;19,36;
2013;Anual;13,76;19,67;
2014;Anual;14,07;20,18;
2015;Anual;14,35;20,49;
2016;Anual;14,48;20,46;
2017;Anual;14,56;20,46;
2018;Anual;14,55;20,39;
2019;Anual;14,45;20,26;
2020;Anual;14,37;20,06;
2021;Anual;14,08;20,03;
2022;Anual;13,62;20,28;
2023;Anual;13,43;20,2;
2024;Anual;13,2;19,97;
2025;Anual;13,17;20,01;
