El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;Vicálvaro;Madrid;
2005;Anual;17,39;26,61;
2006;Anual;17,3;27,11;
2007;Anual;18,52;28,12;
2008;Anual;19,05;28,96;
2009;Anual;19,81;29,9;
2010;Anual;20,47;30,78;
2011;Anual;21,6;31,72;
2012;Anual;23,09;32,61;
2013;Anual;24,92;33,51;
2014;Anual;26,26;34,33;
2015;Anual;28,1;35,02;
2016;Anual;29,76;35,49;
2017;Anual;31,5;36,1;
2018;Anual;32,75;36,19;
2019;Anual;33,7;36;
2020;Anual;33,8;35,2;
2021;Anual;36;35,4;
2022;Anual;35,9;35;
2023;Anual;35,75;34,59;
2024;Anual;35,3;34,7;
2025;Anual;34,76;34,76;
