El municipio en cifras
Índice de feminidad
Año;Periodos;Vicálvaro;Madrid;
2005;Anual;101,5;112,8;
2006;Anual;101,5;112,5;
2007;Anual;101,8;112,6;
2008;Anual;101,7;112,4;
2009;Anual;101,5;112,3;
2010;Anual;101,4;112,7;
2011;Anual;102,5;113,3;
2012;Anual;103,3;114;
2013;Anual;104,6;114,5;
2014;Anual;105,3;114,8;
2015;Anual;105,6;115;
2016;Anual;105,6;114,9;
2017;Anual;105,8;114,8;
2018;Anual;105,9;114,7;
2019;Anual;107;114,7;
2020;Anual;106,9;114,5;
2021;Anual;106,8;114,4;
2022;Anual;106,4;114,1;
2023;Anual;106,5;114,1;
2024;Anual;106,4;113,5;
2025;Anual;106,3;113,1;
