El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;Vicálvaro;Madrid;
2005;Anual;13,3;16,3;
2006;Anual;14,9;17,9;
2007;Anual;16,1;18,4;
2008;Anual;18;19,8;
2009;Anual;18,8;20,8;
2010;Anual;19,3;21,1;
2011;Anual;19,2;21,1;
2012;Anual;18,2;20,4;
2013;Anual;17,7;20,2;
2014;Anual;16,8;19,5;
2015;Anual;16,4;19,3;
2016;Anual;16,5;19,7;
2017;Anual;16,5;20,1;
2018;Anual;17,04;21,03;
2019;Anual;17,96;22,16;
2020;Anual;19,02;23,61;
2021;Anual;19,61;24,32;
2022;Anual;20,06;24,62;
2023;Anual;21,53;26,3;
2024;Anual;24,04;28,76;
2025;Anual;25,39;30,22;
