El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;Vicálvaro;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;11,9;14,29;
2006;Anual;13,47;15,82;
2007;Anual;14,41;15,86;
2008;Anual;16,02;16,9;
2009;Anual;16,63;17,47;
2010;Anual;16,86;17,34;
2011;Anual;16,5;16,93;
2012;Anual;15;15,43;
2013;Anual;13,81;14,41;
2014;Anual;12,35;13,14;
2015;Anual;11,18;12,07;
2016;Anual;11,18;12,19;
2017;Anual;11,1;12,41;
2018;Anual;11,45;13,12;
2019;Anual;12,12;14,1;
2020;Anual;12,96;15,32;
2021;Anual;13,33;15,82;
2022;Anual;13,32;15,74;
2023;Anual;14,38;17,08;
2024;Anual;16,2;18,99;
2025;Anual;17;19,99;
