El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;Vicálvaro;Madrid;
2015;Enero;13,02;11,24;
2015;Febrero;13,07;11,3;
2015;Marzo;13,06;11,24;
2015;Abril;12,75;10,97;
2015;Mayo;12,46;10,62;
2015;Junio;12,23;10,33;
2015;Julio;12,24;10,25;
2015;Agosto;12,22;10,39;
2015;Septiembre;12,07;10,35;
2015;Octubre;12,24;10,4;
2015;Noviembre;12,06;10,27;
2015;Diciembre;11,83;10,07;
2016;Enero;11,89;10,23;
2016;Febrero;11,9;10,27;
2016;Marzo;11,78;10,22;
2016;Abril;11,56;10,02;
2016;Mayo;11,3;9,72;
2016;Junio;11,19;9,56;
2016;Julio;10,99;9,46;
2016;Agosto;11,11;9,57;
2016;Septiembre;11;9,46;
2016;Octubre;11,07;9,46;
2016;Noviembre;10,97;9,34;
2016;Diciembre;10,7;9,09;
2017;Enero;10,97;9,29;
2017;Febrero;11,17;9,35;
2017;Marzo;11,1;9,2;
2017;Abril;10,83;8,95;
2017;Mayo;10,54;8,74;
2017;Junio;10,31;8,6;
2017;Julio;10,3;8,63;
2017;Agosto;10,53;8,74;
2017;Septiembre;10,44;8,7;
2017;Octubre;10,44;8,7;
2017;Noviembre;10,03;8,48;
2017;Diciembre;9,7;8,28;
2018;Enero;10,12;8,53;
2018;Febrero;10,26;8,57;
2018;Marzo;10,06;8,48;
2018;Abril;10,03;8,3;
2018;Mayo;9,68;8,05;
2018;Junio;9,43;7,85;
2018;Julio;9,33;7,85;
2018;Agosto;9,47;7,91;
2018;Septiembre;9,55;7,87;
2018;Octubre;9,29;7,81;
2018;Noviembre;9,16;7,67;
2018;Diciembre;8,79;7,48;
2019;Enero;9,18;7,73;
2019;Febrero;9,3;7,82;
2019;Marzo;9,33;7,8;
2019;Abril;9,08;7,66;
2019;Mayo;8,88;7,48;
2019;Junio;8,7;7,35;
2019;Julio;8,62;7,37;
2019;Agosto;8,96;7,49;
2019;Septiembre;8,83;7,43;
2019;Octubre;9,03;7,52;
2019;Noviembre;8,86;7,45;
2019;Diciembre;8,68;7,3;
2020;Enero;8,89;7,54;
2020;Febrero;9,03;7,57;
2020;Marzo;9,17;7,8;
2020;Abril;9,91;8,74;
2020;Mayo;10,25;9,14;
2020;Junio;10,22;9,16;
2020;Julio;10,37;9,37;
2020;Agosto;10,53;9,5;
2020;Septiembre;10,45;9,36;
2020;Octubre;10,68;9,51;
2020;Noviembre;10,56;9,51;
2020;Diciembre;10,64;9,54;
2021;Enero;10,74;9,71;
2021;Febrero;10,81;9,87;
2021;Marzo;10,88;9,83;
2021;Abril;10,62;9,72;
2021;Mayo;10,37;9,48;
2021;Junio;10,17;9,29;
2021;Julio;10;9,14;
2021;Agosto;10;9,17;
2021;Septiembre;9,79;8,95;
2021;Octubre;9,63;8,71;
2021;Noviembre;9,38;8,51;
2021;Diciembre;8,7;7,91;
2022;Enero;8,58;7,74;
2022;Febrero;8,12;7,33;
2022;Marzo;8,05;7,28;
2022;Abril;7,81;7,01;
2022;Mayo;7,46;6,68;
2022;Junio;7,12;6,5;
2022;Julio;7,43;6,56;
2022;Agosto;7,49;6,6;
2022;Septiembre;7,53;6,6;
2022;Octubre;7,49;6,57;
2022;Noviembre;7,28;6,42;
2022;Diciembre;7,19;6,33;
2023;Enero;7,55;6,56;
2023;Febrero;7,66;6,67;
2023;Marzo;7,73;6,72;
2023;Abril;7,49;6,59;
2023;Mayo;7,22;6,38;
2023;Junio;7,18;6,32;
2023;Julio;7,06;6,2;
2023;Agosto;7,1;6,23;
2023;Septiembre;7,17;6,26;
2023;Octubre;7,02;6,23;
2023;Noviembre;6,83;6,13;
2023;Diciembre;6,67;6,02;
2024;Enero;6,91;6,23;
2024;Febrero;6,92;6,22;
2024;Marzo;7,01;6,24;
2024;Abril;6,82;6,07;
2024;Mayo;6,69;5,94;
2024;Junio;6,52;5,84;
2024;Julio;6,5;5,83;
2024;Agosto;6,42;5,87;
2024;Septiembre;6,42;5,87;
2024;Octubre;6,46;5,85;
2024;Noviembre;6,27;5,76;
2024;Diciembre;6,53;5,68;
2025;Enero;6,58;5,75;
2025;Febrero;6,68;5,84;
2025;Marzo;6,32;5,89;
2025;Abril;6,18;5,82;
2025;Mayo;6,11;5,69;
2025;Junio;6,02;5,57;
2025;Julio;6;5,59;
2025;Agosto;6,12;5,7;
2025;Septiembre;6,17;5,66;
2025;Octubre;6,11;5,71;
2025;Noviembre;6,01;5,64;
2025;Diciembre;5,96;5,61;
2026;Enero;6,02;5,69;
2026;Febrero;6,15;5,76;
