El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;Vicálvaro;Madrid;
2005;Anual;17,89;13,59;
2006;Anual;18,15;13,6;
2007;Anual;18,48;13,72;
2008;Anual;18,87;13,87;
2009;Anual;19,31;14,05;
2010;Anual;19,48;14,19;
2011;Anual;19,79;14,29;
2012;Anual;20,23;14,4;
2013;Anual;20,38;14,46;
2014;Anual;20,48;14,48;
2015;Anual;20,31;14,5;
2016;Anual;20,08;14,51;
2017;Anual;19,65;14,49;
2018;Anual;19,15;14,37;
2019;Anual;18,68;14,22;
2020;Anual;17,99;13,98;
2021;Anual;17,39;13,76;
2022;Anual;17,01;13,55;
2023;Anual;16,62;13,29;
2024;Anual;16,09;13,03;
2025;Anual;15,75;12,74;
