El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;Vicálvaro;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;6,88;71;
2011;Anual;7,69;69,87;
2012;Anual;7,37;70,49;
2013;Anual;8,26;73;
2014;Anual;9,7;73,66;
2015;Anual;10,83;76,17;
2016;Anual;11,8;79,58;
2017;Anual;11,67;81,08;
2018;Anual;12,15;83,22;
2019;Anual;14,03;85,23;
2020;Anual;15,13;85,5;
2021;Anual;15,14;83,51;
2022;Anual;16,28;88,8;
2023;Anual;16,61;91,68;
