El municipio en cifras
Autónomos por lugar de trabajo sobre la población de 16 a 64 años (%)
Año;Periodos;Vicálvaro;Madrid;
2006;Anual;;8,08;
2007;Anual;;8,45;
2008;Anual;;8,41;
2009;Anual;;7,99;
2010;Anual;3,13;8;
2011;Anual;3,04;8,38;
2012;Anual;2,7;8,52;
2013;Anual;2,96;9;
2014;Anual;3,3;8,85;
2015;Anual;3,41;9,26;
2016;Anual;3,56;9,39;
2017;Anual;3,73;9,54;
2018;Anual;3,39;9,62;
2019;Anual;4,22;8,96;
2020;Anual;4,27;8,95;
2021;Anual;4,02;8,87;
2022;Anual;3,83;9,02;
2023;Anual;3,83;9,8;
2024;Anual;;;
2025;Anual;;9;
