El municipio en cifras
Población
Año;Periodos;San Blas - Canillejas;
1987;Anual;135675;
1988;Anual;135401;
1989;Anual;134927;
1990;Anual;134380;
1991;Anual;127938;
1992;Anual;128762;
1993;Anual;128712;
1994;Anual;127920;
1995;Anual;126475;
1996;Anual;119395;
1997;Anual;120536;
1998;Anual;121676;
1999;Anual;125427;
2000;Anual;129052;
2001;Anual;133247;
2002;Anual;137445;
2003;Anual;143405;
2004;Anual;146963;
2005;Anual;148985;
2006;Anual;151912;
2007;Anual;153128;
2008;Anual;155795;
2009;Anual;157367;
2010;Anual;158311;
2011;Anual;157298;
2012;Anual;155992;
2013;Anual;155578;
2014;Anual;153372;
2015;Anual;152447;
2016;Anual;153411;
2017;Anual;154357;
2018;Anual;156149;
2019;Anual;158166;
2020;Anual;161222;
2021;Anual;160258;
2022;Anual;158783;
2023;Anual;161219;
2024;Anual;166583;
2025;Anual;169990;
