El municipio en cifras
Estructura de la población
Periodo;Anual;2025
San Blas - Canillejas;Madrid
Orden;Grupo;Hombres;Mujeres;Total;Hombres;Mujeres;Total
1; > 84;1.857;4.296;6.153;42.053;92.109;134.162
2; 80 - 84;1.599;2.533;4.132;42.412;68.809;111.221
3; 75 - 79;2.139;2.987;5.126;53.602;80.108;133.710
4; 70 - 74;2.646;3.542;6.188;60.418;83.243;143.661
5; 65 - 69;4.153;4.924;9.077;80.493;102.569;183.062
6; 60 - 64;5.900;6.626;12.526;102.853;122.998;225.851
7; 55 - 59;6.931;7.671;14.602;116.074;132.847;248.921
8; 50 - 54;6.464;7.461;13.925;126.476;138.636;265.112
9; 45 - 49;5.776;6.457;12.233;130.316;139.236;269.552
10; 40 - 44;5.419;5.663;11.082;122.467;127.825;250.292
11; 35 - 39;5.250;5.573;10.823;122.464;125.667;248.131
12; 30 - 34;5.905;5.855;11.760;133.726;137.801;271.527
13; 25 - 29;5.782;5.843;11.625;124.072;132.589;256.661
14; 20 - 24;5.903;5.502;11.405;100.514;102.254;202.768
15; 15 - 19;4.830;4.686;9.516;84.747;81.427;166.174
16; 10 - 14;3.913;3.766;7.679;77.909;75.033;152.942
17; 5 - 9;3.353;3.221;6.574;71.169;68.166;139.335
18; 0 - 4;2.814;2.749;5.563;63.996;60.839;124.835
