El municipio en cifras
Porcentaje de población de menos de 16 años
Año;Periodos;San Blas - Canillejas;Madrid;
2005;Anual;15,59;13,59;
2006;Anual;15,78;13,6;
2007;Anual;16,26;13,72;
2008;Anual;16,5;13,87;
2009;Anual;16,68;14,05;
2010;Anual;16,86;14,19;
2011;Anual;16,91;14,29;
2012;Anual;16,98;14,4;
2013;Anual;17,03;14,46;
2014;Anual;16,96;14,48;
2015;Anual;16,82;14,5;
2016;Anual;16,69;14,51;
2017;Anual;16,38;14,49;
2018;Anual;15,97;14,37;
2019;Anual;15,53;14,22;
2020;Anual;15;13,98;
2021;Anual;14,48;13,76;
2022;Anual;13,97;13,55;
2023;Anual;13,48;13,29;
2024;Anual;13,09;13,03;
2025;Anual;12,68;12,74;
