El municipio en cifras
Porcentaje de población de 16 a 64 años
Año;Periodos;San Blas - Canillejas;Madrid;
2005;Anual;66,1;67,8;
2006;Anual;66,2;67,7;
2007;Anual;66,2;67,5;
2008;Anual;66,3;67,5;
2009;Anual;66,3;67,4;
2010;Anual;66,1;67;
2011;Anual;66;66,7;
2012;Anual;65,8;66,2;
2013;Anual;65,6;65,9;
2014;Anual;65,3;65,3;
2015;Anual;65,4;65;
2016;Anual;65,5;65;
2017;Anual;65,8;65,1;
2018;Anual;66,3;65,2;
2019;Anual;66,9;65,53;
2020;Anual;67,61;65,96;
2021;Anual;68,18;66,21;
2022;Anual;68,38;66,17;
2023;Anual;68,74;66,51;
2024;Anual;69,06;67,01;
2025;Anual;69,27;67,25;
