El municipio en cifras
Porcentaje de población de 65 y más años
Año;Periodos;San Blas - Canillejas;Madrid;
2005;Anual;18,32;18,62;
2006;Anual;17,99;18,74;
2007;Anual;17,59;18,76;
2008;Anual;17,16;18,58;
2009;Anual;16,99;18,58;
2010;Anual;17,01;18,77;
2011;Anual;17,14;19,04;
2012;Anual;17,27;19,36;
2013;Anual;17,38;19,67;
2014;Anual;17,76;20,18;
2015;Anual;17,82;20,49;
2016;Anual;17,81;20,46;
2017;Anual;17,8;20,46;
2018;Anual;17,7;20,39;
2019;Anual;17,57;20,26;
2020;Anual;17,39;20,06;
2021;Anual;17,34;20,03;
2022;Anual;17,65;20,28;
2023;Anual;17,78;20,2;
2024;Anual;17,85;19,97;
2025;Anual;18,05;20,01;
