El municipio en cifras
Índice de sobreenvejecimiento
Año;Periodos;San Blas - Canillejas;Madrid;
2005;Anual;22,48;26,61;
2006;Anual;23,37;27,11;
2007;Anual;25,03;28,12;
2008;Anual;26,69;28,96;
2009;Anual;28,79;29,9;
2010;Anual;30,75;30,78;
2011;Anual;32,77;31,72;
2012;Anual;34,52;32,61;
2013;Anual;36,24;33,51;
2014;Anual;37,83;34,33;
2015;Anual;39,06;35,02;
2016;Anual;39,97;35,49;
2017;Anual;40,82;36,1;
2018;Anual;40,86;36,19;
2019;Anual;40,3;36;
2020;Anual;39;35,2;
2021;Anual;38,3;35,4;
2022;Anual;36,9;35;
2023;Anual;35,44;34,59;
2024;Anual;34,4;34,7;
2025;Anual;33,51;34,76;
