El municipio en cifras
Índice de feminidad
Año;Periodos;San Blas - Canillejas;Madrid;
2005;Anual;105,9;112,8;
2006;Anual;105,8;112,5;
2007;Anual;106,3;112,6;
2008;Anual;107,2;112,4;
2009;Anual;107,7;112,3;
2010;Anual;108,3;112,7;
2011;Anual;109,7;113,3;
2012;Anual;110,3;114;
2013;Anual;110,5;114,5;
2014;Anual;110,8;114,8;
2015;Anual;111,1;115;
2016;Anual;111,4;114,9;
2017;Anual;111,4;114,8;
2018;Anual;111,2;114,7;
2019;Anual;111,6;114,7;
2020;Anual;111,4;114,5;
2021;Anual;111,5;114,4;
2022;Anual;111,5;114,1;
2023;Anual;111,7;114,1;
2024;Anual;111,3;113,5;
2025;Anual;110,8;113,1;
