El municipio en cifras
Porcentaje de población nacida en el extranjero
Año;Periodos;San Blas - Canillejas;Madrid;
2005;Anual;12,4;16,3;
2006;Anual;14,1;17,9;
2007;Anual;15,2;18,4;
2008;Anual;16,5;19,8;
2009;Anual;17,5;20,8;
2010;Anual;17,9;21,1;
2011;Anual;17,8;21,1;
2012;Anual;17,1;20,4;
2013;Anual;17,1;20,2;
2014;Anual;16,4;19,5;
2015;Anual;16,3;19,3;
2016;Anual;16,7;19,7;
2017;Anual;17,3;20,1;
2018;Anual;18,57;21,03;
2019;Anual;20,09;22,16;
2020;Anual;21,9;23,61;
2021;Anual;22,68;24,32;
2022;Anual;23,02;24,62;
2023;Anual;25,12;26,3;
2024;Anual;27,73;28,76;
2025;Anual;29,56;30,22;
