El municipio en cifras
Porcentaje de población de nacionalidad extranjera
Año;Periodos;San Blas - Canillejas;Madrid;
2003;Anual;;11,51;
2004;Anual;;12,53;
2005;Anual;10,64;14,29;
2006;Anual;12,33;15,82;
2007;Anual;13,18;15,86;
2008;Anual;14;16,9;
2009;Anual;14,58;17,47;
2010;Anual;14,57;17,34;
2011;Anual;14,06;16,93;
2012;Anual;12,59;15,43;
2013;Anual;11,76;14,41;
2014;Anual;10,56;13,14;
2015;Anual;9,81;12,07;
2016;Anual;9,89;12,19;
2017;Anual;10,14;12,41;
2018;Anual;11,09;13,12;
2019;Anual;12,29;14,1;
2020;Anual;13,75;15,32;
2021;Anual;14,29;15,82;
2022;Anual;14,3;15,74;
2023;Anual;16,09;17,08;
2024;Anual;18,09;18,99;
2025;Anual;19,39;19,99;
