El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;San Blas - Canillejas;Madrid;
2015;Enero;12,08;11,24;
2015;Febrero;12,15;11,3;
2015;Marzo;12,11;11,24;
2015;Abril;11,9;10,97;
2015;Mayo;11,51;10,62;
2015;Junio;11,18;10,33;
2015;Julio;11,03;10,25;
2015;Agosto;11,27;10,39;
2015;Septiembre;11,24;10,35;
2015;Octubre;11,34;10,4;
2015;Noviembre;11,19;10,27;
2015;Diciembre;11,04;10,07;
2016;Enero;11,22;10,23;
2016;Febrero;11,25;10,27;
2016;Marzo;11,1;10,22;
2016;Abril;11,01;10,02;
2016;Mayo;10,63;9,72;
2016;Junio;10,46;9,56;
2016;Julio;10,33;9,46;
2016;Agosto;10,33;9,57;
2016;Septiembre;10,37;9,46;
2016;Octubre;10,26;9,46;
2016;Noviembre;10,11;9,34;
2016;Diciembre;9,86;9,09;
2017;Enero;10,12;9,29;
2017;Febrero;10,24;9,35;
2017;Marzo;10,1;9,2;
2017;Abril;9,84;8,95;
2017;Mayo;9,51;8,74;
2017;Junio;9,39;8,6;
2017;Julio;9,32;8,63;
2017;Agosto;9,39;8,74;
2017;Septiembre;9,41;8,7;
2017;Octubre;9,41;8,7;
2017;Noviembre;9,1;8,48;
2017;Diciembre;8,84;8,28;
2018;Enero;9,19;8,53;
2018;Febrero;9,23;8,57;
2018;Marzo;9,01;8,48;
2018;Abril;8,92;8,3;
2018;Mayo;8,61;8,05;
2018;Junio;8,32;7,85;
2018;Julio;8,23;7,85;
2018;Agosto;8,33;7,91;
2018;Septiembre;8,32;7,87;
2018;Octubre;8,29;7,81;
2018;Noviembre;8,15;7,67;
2018;Diciembre;7,9;7,48;
2019;Enero;8,24;7,73;
2019;Febrero;8,3;7,82;
2019;Marzo;8,33;7,8;
2019;Abril;8,14;7,66;
2019;Mayo;7,95;7,48;
2019;Junio;7,8;7,35;
2019;Julio;7,77;7,37;
2019;Agosto;7,92;7,49;
2019;Septiembre;7,83;7,43;
2019;Octubre;7,91;7,52;
2019;Noviembre;7,84;7,45;
2019;Diciembre;7,63;7,3;
2020;Enero;7,94;7,54;
2020;Febrero;7,99;7,57;
2020;Marzo;8,22;7,8;
2020;Abril;9,11;8,74;
2020;Mayo;9,54;9,14;
2020;Junio;9,52;9,16;
2020;Julio;9,69;9,37;
2020;Agosto;9,88;9,5;
2020;Septiembre;9,75;9,36;
2020;Octubre;9,91;9,51;
2020;Noviembre;9,95;9,51;
2020;Diciembre;10,02;9,54;
2021;Enero;10,23;9,71;
2021;Febrero;10,47;9,87;
2021;Marzo;10,44;9,83;
2021;Abril;10,35;9,72;
2021;Mayo;10,1;9,48;
2021;Junio;9,91;9,29;
2021;Julio;9,72;9,14;
2021;Agosto;9,78;9,17;
2021;Septiembre;9,54;8,95;
2021;Octubre;9,28;8,71;
2021;Noviembre;9,01;8,51;
2021;Diciembre;8,35;7,91;
2022;Enero;8,36;7,74;
2022;Febrero;7,87;7,33;
2022;Marzo;7,79;7,28;
2022;Abril;7,57;7,01;
2022;Mayo;7,24;6,68;
2022;Junio;6,92;6,5;
2022;Julio;7,09;6,56;
2022;Agosto;7,14;6,6;
2022;Septiembre;7,18;6,6;
2022;Octubre;7,19;6,57;
2022;Noviembre;7,09;6,42;
2022;Diciembre;6,97;6,33;
2023;Enero;7,18;6,56;
2023;Febrero;7,29;6,67;
2023;Marzo;7,32;6,72;
2023;Abril;7,18;6,59;
2023;Mayo;7;6,38;
2023;Junio;6,82;6,32;
2023;Julio;6,75;6,2;
2023;Agosto;6,79;6,23;
2023;Septiembre;6,81;6,26;
2023;Octubre;6,8;6,23;
2023;Noviembre;6,63;6,13;
2023;Diciembre;6,56;6,02;
2024;Enero;6,79;6,23;
2024;Febrero;6,72;6,22;
2024;Marzo;6,79;6,24;
2024;Abril;6,67;6,07;
2024;Mayo;6,54;5,94;
2024;Junio;6,33;5,84;
2024;Julio;6,28;5,83;
2024;Agosto;6,31;5,87;
2024;Septiembre;6,37;5,87;
2024;Octubre;6,41;5,85;
2024;Noviembre;6,36;5,76;
2024;Diciembre;6,08;5,68;
2025;Enero;6,12;5,75;
2025;Febrero;6,15;5,84;
2025;Marzo;6,42;5,89;
2025;Abril;6,43;5,82;
2025;Mayo;6,31;5,69;
2025;Junio;6,19;5,57;
2025;Julio;6,12;5,59;
2025;Agosto;6,3;5,7;
2025;Septiembre;6,26;5,66;
2025;Octubre;6,29;5,71;
2025;Noviembre;6,12;5,64;
2025;Diciembre;6,09;5,61;
2026;Enero;6,18;5,69;
2026;Febrero;6,31;5,76;
