El municipio en cifras
Afiliaciones por lugar de trabajo al régimen general sobre población de 16 a 64 años (%)
Año;Periodos;San Blas - Canillejas;Madrid;
2006;Anual;;75,27;
2007;Anual;;77,82;
2008;Anual;;76,39;
2009;Anual;;71,34;
2010;Anual;76,6;71;
2011;Anual;85,06;69,87;
2012;Anual;86,64;70,49;
2013;Anual;87,17;73;
2014;Anual;90,75;73,66;
2015;Anual;97,32;76,17;
2016;Anual;95,25;79,58;
2017;Anual;98,26;81,08;
2018;Anual;101,75;83,22;
2019;Anual;98,98;85,23;
2020;Anual;100,28;85,5;
2021;Anual;101,94;83,51;
2022;Anual;104,84;88,8;
2023;Anual;120,45;91,68;
