El municipio en cifras
Autónomos por lugar de trabajo sobre la población de 16 a 64 años (%)
Año;Periodos;San Blas - Canillejas;Madrid;
2006;Anual;;8,08;
2007;Anual;;8,45;
2008;Anual;;8,41;
2009;Anual;;7,99;
2010;Anual;4,74;8;
2011;Anual;4,82;8,38;
2012;Anual;4,34;8,52;
2013;Anual;4,57;9;
2014;Anual;5,26;8,85;
2015;Anual;5,63;9,26;
2016;Anual;5,59;9,39;
2017;Anual;5,85;9,54;
2018;Anual;4,36;9,62;
2019;Anual;6,28;8,96;
2020;Anual;6,44;8,95;
2021;Anual;6,21;8,87;
2022;Anual;6,09;9,02;
2023;Anual;6;9,8;
2024;Anual;;;
2025;Anual;;9;
