El municipio en cifras
Parados registrados
Año;Periodos;San Blas - Canillejas;
2012;Diciembre;12298;
2013;Enero;12813;
2013;Febrero;12994;
2013;Marzo;13151;
2013;Abril;13066;
2013;Mayo;12976;
2013;Junio;12573;
2013;Julio;12603;
2013;Agosto;12656;
2013;Septiembre;12743;
2013;Octubre;12924;
2013;Noviembre;12803;
2013;Diciembre;12481;
2014;Enero;12689;
2014;Febrero;12801;
2014;Marzo;12698;
2014;Abril;12544;
2014;Mayo;12267;
2014;Junio;11978;
2014;Julio;12088;
2014;Agosto;12214;
2014;Septiembre;12215;
2014;Octubre;12316;
2014;Noviembre;12151;
2014;Diciembre;11797;
2015;Enero;12070;
2015;Febrero;12172;
2015;Marzo;12115;
2015;Abril;11914;
2015;Mayo;11525;
2015;Junio;11221;
2015;Julio;11093;
2015;Agosto;11304;
2015;Septiembre;11279;
2015;Octubre;11413;
2015;Noviembre;11281;
2015;Diciembre;11118;
2016;Enero;11303;
2016;Febrero;11347;
2016;Marzo;11195;
2016;Abril;11129;
2016;Mayo;10776;
2016;Junio;10595;
2016;Julio;10472;
2016;Agosto;10459;
2016;Septiembre;10514;
2016;Octubre;10403;
2016;Noviembre;10270;
2016;Diciembre;10048;
2017;Enero;10309;
2017;Febrero;10456;
2017;Marzo;10344;
2017;Abril;10081;
2017;Mayo;9756;
2017;Junio;9649;
2017;Julio;9605;
2017;Agosto;9662;
2017;Septiembre;9697;
2017;Octubre;9613;
2017;Noviembre;9445;
2017;Diciembre;9169;
2018;Enero;9543;
2018;Febrero;9612;
2018;Marzo;9411;
2018;Abril;9317;
2018;Mayo;9038;
2018;Junio;8728;
2018;Julio;8635;
2018;Agosto;8770;
2018;Septiembre;8769;
2018;Octubre;8751;
2018;Noviembre;8617;
2018;Diciembre;8373;
2019;Enero;8739;
2019;Febrero;8806;
2019;Marzo;8849;
2019;Abril;8658;
2019;Mayo;8482;
2019;Junio;8354;
2019;Julio;8362;
2019;Agosto;8554;
2019;Septiembre;8495;
2019;Octubre;8574;
2019;Noviembre;8536;
2019;Diciembre;8334;
2020;Enero;8683;
2020;Febrero;8747;
2020;Marzo;9030;
2020;Abril;10006;
2020;Mayo;10468;
2020;Junio;10459;
2020;Julio;10615;
2020;Agosto;10832;
2020;Septiembre;10702;
2020;Octubre;10874;
2020;Noviembre;10929;
2020;Diciembre;11006;
2021;Enero;11235;
2021;Febrero;11474;
2021;Marzo;11388;
2021;Abril;11310;
2021;Mayo;11047;
2021;Junio;10830;
2021;Julio;10629;
2021;Agosto;10672;
2021;Septiembre;10424;
2021;Octubre;10121;
2021;Noviembre;9844;
2021;Diciembre;9142;
2022;Enero;9103;
2022;Febrero;8593;
2022;Marzo;8532;
2022;Abril;8325;
2022;Mayo;7994;
2022;Junio;7673;
2022;Julio;7874;
2022;Agosto;7874;
2022;Septiembre;7976;
2022;Octubre;8007;
2022;Noviembre;7905;
2022;Diciembre;7730;
2023;Enero;7960;
2023;Febrero;8090;
2023;Marzo;8118;
2023;Abril;7968;
2023;Mayo;7872;
2023;Junio;7675;
2023;Julio;7669;
2023;Agosto;7744;
2023;Septiembre;7766;
2023;Octubre;7796;
2023;Noviembre;7604;
2023;Diciembre;7576;
2024;Enero;7847;
2024;Febrero;7797;
2024;Marzo;7890;
2024;Abril;7771;
2024;Mayo;7641;
2024;Junio;7413;
2024;Julio;7375;
2024;Agosto;7402;
2024;Septiembre;7487;
2024;Octubre;7556;
2024;Noviembre;6862;
2024;Diciembre;7190;
2025;Enero;7234;
2025;Febrero;7278;
2025;Marzo;7608;
2025;Abril;7611;
2025;Mayo;7442;
2025;Junio;7289;
2025;Julio;7200;
2025;Agosto;7385;
2025;Septiembre;7323;
2025;Octubre;7361;
2025;Noviembre;7158;
2025;Diciembre;7119;
2026;Enero;7222;
2026;Febrero;7372;
