El municipio en cifras
Población
Año;Periodos;Barajas;
1987;Anual;33813;
1988;Anual;33860;
1989;Anual;34001;
1990;Anual;34326;
1991;Anual;34515;
1992;Anual;34597;
1993;Anual;35065;
1994;Anual;35226;
1995;Anual;35296;
1996;Anual;33792;
1997;Anual;34058;
1998;Anual;34324;
1999;Anual;34540;
2000;Anual;35008;
2001;Anual;36166;
2002;Anual;37672;
2003;Anual;40303;
2004;Anual;41292;
2005;Anual;42200;
2006;Anual;43423;
2007;Anual;43698;
2008;Anual;44274;
2009;Anual;44989;
2010;Anual;45797;
2011;Anual;46211;
2012;Anual;46192;
2013;Anual;46089;
2014;Anual;45586;
2015;Anual;45747;
2016;Anual;46264;
2017;Anual;46876;
2018;Anual;47836;
2019;Anual;48972;
2020;Anual;50010;
2021;Anual;50077;
2022;Anual;48404;
2023;Anual;48646;
2024;Anual;49612;
2025;Anual;50539;
